Serving Size,nutritions
100 грама съдържат:,"['110', '19.44', '1.03', '3.21'] -> 4 елемента"
100 грама съдържат:,"['45', '0.55', '11.82', '0.13'] -> 4 елемента"
100 грама съдържат:,"['57', '3', '6.80', '2'] -> 4 елемента"
100 грама съдържат:,"['22', '2.47', '3.67', '0.31'] -> 4 елемента"
100 грама съдържат:,"['226', '8', '29.30', '8.50'] -> 4 елемента"
100 грама съдържат:,"['157', '15.68', '16.95', '2.97'] -> 4 елемента"
100 грама съдържат:,"['459', '7.50', '66.10', '18.30'] -> 4 елемента"
100 грама съдържат:,"['516', '7', '59.70', '27.70'] -> 4 елемента"
100 грама съдържат:,"['541', '4.90', '56', '33'] -> 4 елемента"
100 грама съдържат:,"['92', '2.92', '12.50', '3.33'] -> 4 елемента"
100 грама съдържат:,"['507', '7.60', '65.10', '24'] -> 4 елемента"
100 грама съдържат:,"['277', '8.60', '50.20', '4.30'] -> 4 елемента"
100 грама съдържат:,"['525', '5.30', '61.70', '28.50'] -> 4 елемента"
100 грама съдържат:,"['64', '2', '11', '1.30'] -> 4 елемента"
100 грама съдържат:,"['14', '1.36', '2.42', '0.30'] -> 4 елемента"
100 грама съдържат:,"['208', '27.87', '0', '9.82'] -> 4 елемента"
100 грама съдържат:,"['113', '20.57', '0.84', '3.01'] -> 4 елемента"
100 грама съдържат:,"['61', '3.80', '9.30', '1'] -> 4 елемента"
100 грама съдържат:,"['26', '0.44', '6', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['394', '10.20', '78.40', '4.40'] -> 4 елемента"
100 грама съдържат:,"['514', '5.70', '58.60', '28.50'] -> 4 елемента"
100 грама съдържат:,"['188', '14.80', '16', '7.20'] -> 4 елемента"
100 грама съдържат:,"['73', '2.92', '12.50', '1.25'] -> 4 елемента"
100 грама съдържат:,"['472', '8.50', '64.10', '20.20'] -> 4 елемента"
100 грама съдържат:,"['484', '8.90', '56.50', '24.70'] -> 4 елемента"
100 грама съдържат:,"['259', '11.40', '43.70', '4.80'] -> 4 елемента"
100 грама съдържат:,"['525', '5.30', '61.70', '28.50'] -> 4 елемента"
100 грама съдържат:,"['38', '1.65', '8.98', '0.21'] -> 4 елемента"
100 грама съдържат:,"['30', '2.84', '5.23', '0.49'] -> 4 елемента"
100 грама съдържат:,"['97', '18.56', '0', '1.95'] -> 4 елемента"
100 грама съдържат:,"['29', '0.36', '6.79', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['116', '20.95', '1.05', '3.16'] -> 4 елемента"
100 грама съдържат:,"['144', '19.54', '0', '6.72'] -> 4 елемента"
100 грама съдържат:,"['20', '1.14', '4.36', '0.23'] -> 4 елемента"
100 грама съдържат:,"['152', '0.20', '11.67', '0'] -> 4 елемента"
100 грама съдържат:,"['320', '19.62', '12.69', '21.15'] -> 4 елемента"
100 грама съдържат:,"['43', '4.10', '1', '2.50'] -> 4 елемента"
100 грама съдържат:,"['561', '8.70', '53.50', '34.70'] -> 4 елемента"
100 грама съдържат:,"['421', '9.60', '62', '15'] -> 4 елемента"
100 грама съдържат:,"['84', '2.92', '12.50', '2.50'] -> 4 елемента"
100 грама съдържат:,"['493', '7', '57.50', '26.10'] -> 4 елемента"
100 грама съдържат:,"['444', '8.80', '65.40', '16.30'] -> 4 елемента"
100 грама съдържат:,"['190', '26.32', '0', '8.63'] -> 4 елемента"
100 грама съдържат:,"['495', '6.30', '63.50', '24'] -> 4 елемента"
100 грама съдържат:,"['273', '8.60', '46', '6.30'] -> 4 елемента"
100 грама съдържат:,"['526', '4.40', '61.20', '29.30'] -> 4 елемента"
100 грама съдържат:,"['308', '0.10', '32.20', '0.30'] -> 4 елемента"
100 грама съдържат:,"['132', '21.69', '1.26', '4.45'] -> 4 елемента"
100 грама съдържат:,"['32', '1.50', '7.13', '0.30'] -> 4 елемента"
100 грама съдържат:,"['42', '3', '3.70', '1.70'] -> 4 елемента"
100 грама съдържат:,"['32', '0.36', '6.79', '0.36'] -> 4 елемента"
100 грама съдържат:,"['28', '2.66', '4.90', '0.46'] -> 4 елемента"
100 грама съдържат:,"['82', '4.32', '18.91', '0.47'] -> 4 елемента"
100 грама съдържат:,"['91', '1.70', '20', '0.50'] -> 4 елемента"
100 грама съдържат:,"['189', '28.71', '0', '7.41'] -> 4 елемента"
100 грама съдържат:,"['452', '3.50', '71.60', '16.80'] -> 4 елемента"
100 грама съдържат:,"['522', '4.10', '50', '34'] -> 4 елемента"
100 грама съдържат:,"['115', '3.33', '13.33', '5.42'] -> 4 елемента"
100 грама съдържат:,"['529', '5.80', '54.30', '32.10'] -> 4 елемента"
100 грама съдържат:,"['322', '18.48', '15.17', '20.85'] -> 4 елемента"
100 грама съдържат:,"['384', '5.90', '69', '9.40'] -> 4 елемента"
100 грама съдържат:,"['402', '9', '55.20', '16.10'] -> 4 елемента"
100 грама съдържат:,"['368', '23.41', '1.12', '30.04'] -> 4 елемента"
100 грама съдържат:,"['521', '7.20', '61.10', '27.50'] -> 4 елемента"
100 грама съдържат:,"['288', '14.52', '47.11', '4.60'] -> 4 елемента"
100 грама съдържат:,"['295', '0', '0', '0'] -> 4 елемента"
100 грама съдържат:,"['201', '25.73', '0', '10.12'] -> 4 елемента"
100 грама съдържат:,"['184', '25.32', '0', '8.42'] -> 4 елемента"
100 грама съдържат:,"['221', '32.21', '0', '9.24'] -> 4 елемента"
100 грама съдържат:,"['157', '21.89', '0', '7.02'] -> 4 елемента"
100 грама съдържат:,"['28', '1.90', '5.63', '0.40'] -> 4 елемента"
100 грама съдържат:,"['23', '1.53', '4.35', '0.24'] -> 4 елемента"
100 грама съдържат:,"['110', '17.34', '1.45', '3.97'] -> 4 елемента"
100 грама съдържат:,"['29', '0.36', '6.79', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['454', '7.40', '63', '19.20'] -> 4 елемента"
100 грама съдържат:,"['331', '17.28', '19.75', '20.37'] -> 4 елемента"
100 грама съдържат:,"['97', '3.33', '13.33', '3.33'] -> 4 елемента"
100 грама съдържат:,"['62', '1.70', '11.90', '0.80'] -> 4 елемента"
100 грама съдържат:,"['514', '7.10', '62.10', '26.40'] -> 4 елемента"
100 грама съдържат:,"['510', '9', '52', '29.50'] -> 4 елемента"
100 грама съдържат:,"['85', '4', '12', '2.30'] -> 4 елемента"
100 грама съдържат:,"['117', '17.99', '1.57', '4.39'] -> 4 елемента"
100 грама съдържат:,"['521', '7.20', '61.10', '27.50'] -> 4 елемента"
100 грама съдържат:,"['275', '0', '0', '0'] -> 4 елемента"
100 грама съдържат:,"['16', '0.79', '3.47', '0.25'] -> 4 елемента"
100 грама съдържат:,"['236', '9.50', '40.20', '4.60'] -> 4 елемента"
100 грама съдържат:,"['228', '32.06', '0', '10.14'] -> 4 елемента"
100 грама съдържат:,"['49', '4.28', '8.75', '0.93'] -> 4 елемента"
100 грама съдържат:,"['16', '1.04', '2.94', '0.16'] -> 4 елемента"
100 грама съдържат:,"['92', '1.31', '23.10', '0.14'] -> 4 елемента"
100 грама съдържат:,"['147', '1.47', '27.09', '5.33'] -> 4 елемента"
100 грама съдържат:,"['244', '26.59', '0.16', '14.38'] -> 4 елемента"
100 грама съдържат:,"['329', '11', '65', '2.80'] -> 4 елемента"
100 грама съдържат:,"['32', '0.36', '6.79', '0.36'] -> 4 елемента"
100 грама съдържат:,"['183', '15.13', '26.89', '1.68'] -> 4 елемента"
100 грама съдържат:,"['151', '4', '17.70', '7.10'] -> 4 елемента"
100 грама съдържат:,"['80', '3.10', '11.60', '2.30'] -> 4 елемента"
100 грама съдържат:,"['540', '7.50', '60', '30'] -> 4 елемента"
100 грама съдържат:,"['108', '3.33', '13.33', '4.58'] -> 4 елемента"
100 грама съдържат:,"['522', '4.50', '62', '28.40'] -> 4 елемента"
100 грама съдържат:,"['307', '9.50', '52', '6.40'] -> 4 елемента"
100 грама съдържат:,"['542', '5', '54', '34'] -> 4 елемента"
100 грама съдържат:,"['130', '19.27', '0', '5.28'] -> 4 елемента"
100 грама съдържат:,"['39', '0.36', '9.29', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['119', '18.82', '1.75', '4.09'] -> 4 елемента"
100 грама съдържат:,"['37', '3.68', '7.29', '0.20'] -> 4 елемента"
100 грама съдържат:,"['18', '0.95', '4.01', '0.11'] -> 4 елемента"
100 грама съдържат:,"['292', '16.94', '18.03', '16.94'] -> 4 елемента"
100 грама съдържат:,"['549', '5.70', '54', '34.50'] -> 4 елемента"
100 грама съдържат:,"['441', '7', '44', '26.30'] -> 4 елемента"
100 грама съдържат:,"['108', '2.80', '17.70', '2.90'] -> 4 елемента"
100 грама съдържат:,"['557', '5', '56.50', '34.50'] -> 4 елемента"
100 грама съдържат:,"['98', '2.35', '10.29', '5.29'] -> 4 елемента"
100 грама съдържат:,"['310', '10.86', '52.04', '6.47'] -> 4 елемента"
100 грама съдържат:,"['506', '6', '46.50', '32.90'] -> 4 елемента"
100 грама съдържат:,"['111', '24.35', '0', '0.82'] -> 4 елемента"
100 грама съдържат:,"['177', '25.76', '0', '7.44'] -> 4 елемента"
100 грама съдържат:,"['295', '30.76', '0', '18.13'] -> 4 елемента"
100 грама съдържат:,"['34', '4.65', '5.80', '0.25'] -> 4 елемента"
100 грама съдържат:,"['131', '21.28', '1.15', '4.70'] -> 4 елемента"
100 грама съдържат:,"['44', '4.16', '6.85', '0.68'] -> 4 елемента"
100 грама съдържат:,"['92', '0.36', '23.94', '0.14'] -> 4 елемента"
100 грама съдържат:,"['16', '1.20', '2.50', '0.20'] -> 4 елемента"
100 грама съдържат:,"['32', '0.36', '6.79', '0.36'] -> 4 елемента"
100 грама съдържат:,"['28', '0.90', '6.43', '0.10'] -> 4 елемента"
100 грама съдържат:,"['311', '10.90', '2.30', '28.70'] -> 4 елемента"
100 грама съдържат:,"['356', '24.99', '1.43', '27.80'] -> 4 елемента"
100 грама съдържат:,"['269', '14.06', '25', '12.50'] -> 4 елемента"
100 грама съдържат:,"['441', '7', '44', '26.30'] -> 4 елемента"
100 грама съдържат:,"['371', '10.40', '71', '4.30'] -> 4 елемента"
100 грама съдържат:,"['522', '5.10', '49', '34'] -> 4 елемента"
100 грама съдържат:,"['118', '3.20', '19.40', '3.10'] -> 4 елемента"
100 грама съдържат:,"['80', '2.35', '10.29', '3.24'] -> 4 елемента"
100 грама съдържат:,"['345', '8.50', '71.50', '2.80'] -> 4 елемента"
100 грама съдържат:,"['562', '6.50', '49.50', '37.50'] -> 4 елемента"
100 грама съдържат:,"['544', '4.50', '62', '30.90'] -> 4 елемента"
100 грама съдържат:,"['555', '8.80', '52', '34.60'] -> 4 елемента"
100 грама съдържат:,"['218', '34.44', '0', '7.81'] -> 4 елемента"
100 грама съдържат:,"['250', '21.01', '0', '17.79'] -> 4 елемента"
100 грама съдържат:,"['35', '0', '8.81', '0'] -> 4 елемента"
100 грама съдържат:,"['14', '0.73', '3.19', '0.08'] -> 4 елемента"
100 грама съдържат:,"['40', '0.29', '10.98', '0.07'] -> 4 елемента"
100 грама съдържат:,"['319', '13', '61.93', '2.14'] -> 4 елемента"
100 грама съдържат:,"['173', '19.05', '0', '10.19'] -> 4 елемента"
100 грама съдържат:,"['126', '22.56', '1.08', '3.78'] -> 4 елемента"
100 грама съдържат:,"['47', '0.14', '11.54', '0.10'] -> 4 елемента"
100 грама съдържат:,"['194', '12.10', '2.80', '14.90'] -> 4 елемента"
100 грама съдържат:,"['350', '17.50', '0.30', '31'] -> 4 елемента"
100 грама съдържат:,"['122', '3.60', '18', '3.90'] -> 4 елемента"
100 грама съдържат:,"['39', '0.36', '9.29', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['222', '13.90', '20.10', '9.60'] -> 4 елемента"
100 грама съдържат:,"['285', '12.50', '28.91', '13.28'] -> 4 елемента"
100 грама съдържат:,"['439', '6', '44.50', '26.30'] -> 4 елемента"
100 грама съдържат:,"['522', '4.50', '62', '28.40'] -> 4 елемента"
100 грама съдържат:,"['540', '6.80', '46.30', '36.40'] -> 4 елемента"
100 грама съдържат:,"['527', '4.90', '48', '35'] -> 4 елемента"
100 грама съдържат:,"['90', '2.35', '10.29', '4.41'] -> 4 елемента"
100 грама съдържат:,"['419', '6.70', '72.10', '11.50'] -> 4 елемента"
100 грама съдържат:,"['52', '3.90', '2.60', '2.90'] -> 4 елемента"
100 грама съдържат:,"['73', '12.60', '4.30', '0.60'] -> 4 елемента"
100 грама съдържат:,"['120', '19.97', '0', '3.89'] -> 4 елемента"
100 грама съдържат:,"['166', '0.51', '41', '0.37'] -> 4 елемента"
100 грама съдържат:,"['559', '6', '50.50', '37'] -> 4 елемента"
100 грама съдържат:,"['24', '2.72', '3.89', '0.41'] -> 4 елемента"
100 грама съдържат:,"['471', '21.57', '0', '41.98'] -> 4 елемента"
100 грама съдържат:,"['239', '18.42', '0', '17.74'] -> 4 елемента"
100 грама съдържат:,"['150', '27.75', '0', '4.38'] -> 4 елемента"
100 грама съдържат:,"['24', '2.40', '3.70', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['39', '0.36', '9.29', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['376', '6', '52', '16'] -> 4 елемента"
100 грама съдържат:,"['80', '3.60', '12.20', '1.90'] -> 4 елемента"
100 грама съдържат:,"['265', '15.20', '16.96', '15.20'] -> 4 елемента"
100 грама съдържат:,"['350', '17.50', '0.30', '31'] -> 4 елемента"
100 грама съдържат:,"['118', '3.10', '18.70', '3.40'] -> 4 елемента"
100 грама съдържат:,"['553', '6.90', '48.30', '36.90'] -> 4 елемента"
100 грама съдържат:,"['74', '1.76', '8.24', '3.82'] -> 4 елемента"
100 грама съдържат:,"['526', '7', '60.20', '28.60'] -> 4 елемента"
100 грама съдържат:,"['142', '0.52', '34.60', '0.11'] -> 4 елемента"
100 грама съдържат:,"['394', '4.10', '71', '10.40'] -> 4 елемента"
100 грама съдържат:,"['145', '24.95', '0.34', '4.97'] -> 4 елемента"
100 грама съдържат:,"['41', '0.94', '8.77', '0.74'] -> 4 елемента"
100 грама съдържат:,"['40', '0.71', '9.29', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['120', '2.23', '7.82', '10.06'] -> 4 елемента"
100 грама съдържат:,"['391', '8', '47', '19'] -> 4 елемента"
100 грама съдържат:,"['73', '3.60', '9.80', '2.20'] -> 4 елемента"
100 грама съдържат:,"['32', '3.60', '2.70', '0.70'] -> 4 елемента"
100 грама съдържат:,"['318', '12', '2.80', '28.70'] -> 4 елемента"
100 грама съдържат:,"['112', '3.53', '23.53', '0'] -> 4 елемента"
100 грама съдържат:,"['53', '0.36', '12.87', '0.12'] -> 4 елемента"
100 грама съдържат:,"['379', '6', '52', '16.30'] -> 4 елемента"
100 грама съдържат:,"['328', '7.90', '54.40', '8.70'] -> 4 елемента"
100 грама съдържат:,"['511', '6.80', '49.20', '31.90'] -> 4 елемента"
100 грама съдържат:,"['394', '4.10', '71', '10.40'] -> 4 елемента"
100 грама съдържат:,"['287', '9.50', '47.80', '6'] -> 4 елемента"
100 грама съдържат:,"['362', '8.12', '76.89', '3.59'] -> 4 елемента"
100 грама съдържат:,"['248', '15.07', '19.18', '12.33'] -> 4 елемента"
100 грама съдържат:,"['113', '3.40', '17.30', '3.40'] -> 4 елемента"
100 грама съдържат:,"['508', '6.50', '53', '30'] -> 4 елемента"
100 грама съдържат:,"['61', '1.76', '8.24', '2.35'] -> 4 елемента"
100 грама съдържат:,"['526', '7', '60.20', '28.60'] -> 4 елемента"
100 грама съдържат:,"['32', '0', '7.84', '0.05'] -> 4 елемента"
100 грама съдържат:,"['251', '32.43', '0', '12.53'] -> 4 елемента"
100 грама съдържат:,"['100', '1.71', '23.40', '0.12'] -> 4 елемента"
100 грама съдържат:,"['60', '0.11', '15.76', '0.01'] -> 4 елемента"
100 грама съдържат:,"['50', '2.95', '9.20', '0.27'] -> 4 елемента"
100 грама съдържат:,"['109', '23.72', '0', '0.90'] -> 4 елемента"
100 грама съдържат:,"['205', '28.88', '0', '9.01'] -> 4 елемента"
100 грама съдържат:,"['167', '1.96', '8.64', '15.41'] -> 4 елемента"
100 грама съдържат:,"['193', '10.70', '4.10', '14.90'] -> 4 елемента"
100 грама съдържат:,"['526', '0.60', '0', '59.17'] -> 4 елемента"
100 грама съдържат:,"['137', '24.14', '0.48', '4.25'] -> 4 елемента"
100 грама съдържат:,"['48', '4', '2.80', '2.30'] -> 4 елемента"
100 грама съдържат:,"['105', '15.69', '7.66', '1'] -> 4 елемента"
100 грама съдържат:,"['9', '0.71', '1.43', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['433', '7', '42', '26.30'] -> 4 елемента"
100 грама съдържат:,"['250', '13.22', '23.14', '11.57'] -> 4 елемента"
100 грама съдържат:,"['480', '6.60', '71.50', '18.60'] -> 4 елемента"
100 грама съдържат:,"['69', '1.76', '8.24', '3.24'] -> 4 елемента"
100 грама съдържат:,"['116', '2.70', '19.70', '2.90'] -> 4 елемента"
100 грама съдържат:,"['70', '2', '9.30', '2.80'] -> 4 елемента"
100 грама съдържат:,"['382', '6.10', '69.80', '8.70'] -> 4 елемента"
100 грама съдържат:,"['528', '5', '55', '32'] -> 4 елемента"
100 грама съдържат:,"['506', '6', '53', '30'] -> 4 елемента"
100 грама съдържат:,"['424', '5', '49.20', '23'] -> 4 елемента"
100 грама съдържат:,"['112', '24.35', '0', '0.88'] -> 4 елемента"
100 грама съдържат:,"['26', '0', '6.43', '0'] -> 4 елемента"
100 грама съдържат:,"['76', '1.37', '17.72', '0.14'] -> 4 елемента"
100 грама съдържат:,"['260', '8.70', '49.50', '3.90'] -> 4 елемента"
100 грама съдържат:,"['42', '1.56', '9.94', '0.19'] -> 4 елемента"
100 грама съдържат:,"['116', '14.07', '4.22', '4.86'] -> 4 елемента"
100 грама съдържат:,"['54', '0.27', '13.92', '0.02'] -> 4 елемента"
100 грама съдържат:,"['46', '2.10', '9.19', '0.20'] -> 4 елемента"
100 грама съдържат:,"['44', '3.20', '4.50', '1.50'] -> 4 елемента"
100 грама съдържат:,"['78', '13.20', '5.10', '0.50'] -> 4 елемента"
100 грама съдържат:,"['73', '3.60', '9.90', '2.10'] -> 4 елемента"
100 грама съдържат:,"['35', '0.71', '7.14', '0.36'] -> 4 елемента"
100 грама съдържат:,"['533', '0.17', '0.86', '59.81'] -> 4 елемента"
100 грама съдържат:,"['382', '6.10', '69.80', '8.70'] -> 4 елемента"
100 грама съдържат:,"['370', '40', '40', '5'] -> 4 елемента"
100 грама съдържат:,"['42', '3', '3.40', '1.80'] -> 4 елемента"
100 грама съдържат:,"['35', '1.45', '8.43', '0.13'] -> 4 елемента"
100 грама съдържат:,"['265', '26.58', '0', '16.76'] -> 4 елемента"
100 грама съдържат:,"['85', '18.73', '0', '0.50'] -> 4 елемента"
100 грама съдържат:,"['266', '6.70', '43.50', '7.10'] -> 4 елемента"
100 грама съдържат:,"['123', '13.88', '4.61', '5.46'] -> 4 елемента"
100 грама съдържат:,"['324', '11.10', '2.65', '30.10'] -> 4 елемента"
100 грама съдържат:,"['56', '0.37', '14.39', '0.09'] -> 4 елемента"
100 грама съдържат:,"['60', '5.27', '11.15', '0.93'] -> 4 елемента"
100 грама съдържат:,"['73', '3.60', '9.90', '2.10'] -> 4 елемента"
100 грама съдържат:,"['900', 'Няма', 'данни', 'Няма', 'данни', '99.98'] -> 6 елемента"
100 грама съдържат:,"['81', '0.71', '13.93', '2.50'] -> 4 елемента"
100 грама съдържат:,"['331', '11.68', '48.18', '10.22'] -> 4 елемента"
100 грама съдържат:,"['390', '7.90', '86', '1.60'] -> 4 елемента"
100 грама съдържат:,"['466', '5', '66.50', '20'] -> 4 елемента"
100 грама съдържат:,"['64', '9.40', '8.28', '1.40'] -> 4 елемента"
100 грама съдържат:,"['56', '0.37', '14.39', '0.09'] -> 4 елемента"
100 грама съдържат:,"['44', '2.65', '8.24', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['45', '3', '4.80', '1.50'] -> 4 елемента"
100 грама съдържат:,"['100', '3', '14.50', '3.30'] -> 4 елемента"
100 грама съдържат:,"['526', '7', '60.20', '28.60'] -> 4 елемента"
100 грама съдържат:,"['161', '21.96', '0.13', '7.43'] -> 4 елемента"
100 грама съдържат:,"['42', '3.30', '5', '1'] -> 4 елемента"
100 грама съдържат:,"['98', '0.70', '25.10', '0.10'] -> 4 елемента"
100 грама съдържат:,"['283', '2.20', '1', '30'] -> 4 елемента"
100 грама съдържат:,"['329', '11.35', '2.78', '30.26'] -> 4 елемента"
100 грама съдържат:,"['73', '3.60', '9.90', '2.10'] -> 4 елемента"
100 грама съдържат:,"['81', '0.71', '13.93', '2.50'] -> 4 елемента"
100 грама съдържат:,"['526', '7', '60.20', '28.60'] -> 4 елемента"
100 грама съдържат:,"['41', '1.80', '7.80', '0.30'] -> 4 елемента"
100 грама съдържат:,"['100', '3', '14.60', '3.30'] -> 4 елемента"
100 грама съдържат:,"['365', '9.42', '74.26', '4.74'] -> 4 елемента"
100 грама съдържат:,"['59', '2.70', '8.90', '1.40'] -> 4 елемента"
100 грама съдържат:,"['418', '7', '69.50', '12.20'] -> 4 елемента"
100 грама съдържат:,"['243', '10.06', '18.24', '14.47'] -> 4 елемента"
100 грама съдържат:,"['900', 'Няма', 'данни', 'Няма', 'данни', '99.98'] -> 6 елемента"
100 грама съдържат:,"['56', '2.65', '7.94', '1.47'] -> 4 елемента"
100 грама съдържат:,"['115', '24.76', '0', '1.04'] -> 4 елемента"
100 грама съдържат:,"['113', '1.17', '29.26', '0.15'] -> 4 елемента"
100 грама съдържат:,"['56', '0.66', '14.34', '0.34'] -> 4 елемента"
100 грама съдържат:,"['74', '3.10', '15.60', '0'] -> 4 елемента"
100 грама съдържат:,"['76', '0.18', '19.91', '0.18'] -> 4 елемента"
100 грама съдържат:,"['327', '10.95', '2.70', '29.90'] -> 4 елемента"
100 грама съдържат:,"['717', '0.16', '0.70', '80.71'] -> 4 елемента"
100 грама съдържат:,"['20', '2.08', '3.71', '0.24'] -> 4 елемента"
100 грама съдържат:,"['162', '22.48', '0', '7.36'] -> 4 елемента"
100 грама съдържат:,"['168', '5.20', '35.70', '0.50'] -> 4 елемента"
100 грама съдържат:,"['900', 'Няма', 'данни', 'Няма', 'данни', '99.98'] -> 6 елемента"
100 грама съдържат:,"['94', '3.10', '16.30', '1.80'] -> 4 елемента"
100 грама съдържат:,"['61', '2.70', '9.30', '1.40'] -> 4 елемента"
100 грама съдържат:,"['73', '3.60', '9.60', '2.20'] -> 4 елемента"
100 грама съдържат:,"['187', '9.56', '20.59', '7.35'] -> 4 елемента"
100 грама съдържат:,"['55', '2.06', '7.06', '2.06'] -> 4 елемента"
100 грама съдържат:,"['20', '1.20', '4.35', '0.20'] -> 4 елемента"
100 грама съдържат:,"['217', '24.80', '0', '12.32'] -> 4 елемента"
100 грама съдържат:,"['42', '0.17', '11.27', '0.10'] -> 4 елемента"
100 грама съдържат:,"['539', '5.40', '58.30', '31.60'] -> 4 елемента"
100 грама съдържат:,"['131', '22.04', '1.48', '4.30'] -> 4 елемента"
100 грама съдържат:,"['83', '0.71', '14.29', '2.50'] -> 4 елемента"
100 грама съдържат:,"['93', '4.31', '19.95', '0.89'] -> 4 елемента"
100 грама съдържат:,"['85', '1.20', '22.15', '0.18'] -> 4 елемента"
100 грама съдържат:,"['136', '3.50', '7.10', '10.60'] -> 4 елемента"
100 грама съдържат:,"['55', '0.89', '11.33', '0.67'] -> 4 елемента"
100 грама съдържат:,"['70', '3.60', '9.70', '1.90'] -> 4 елемента"
100 грама съдържат:,"['80', '14.90', '3.60', '0.60'] -> 4 елемента"
100 грама съдържат:,"['28', '3', '3.80', '0.10'] -> 4 елемента"
100 грама съдържат:,"['532', '6', '63.50', '28.20'] -> 4 елемента"
100 грама съдържат:,"['125', '16.51', '0', '6.04'] -> 4 елемента"
100 грама съдържат:,"['61', '3.10', '4.40', '3.40'] -> 4 елемента"
100 грама съдържат:,"['459', '11.40', '4.67', '43.84'] -> 4 елемента"
100 грама съдържат:,"['39', '2.06', '7.06', '0.29'] -> 4 елемента"
100 грама съдържат:,"['231', '9.52', '19.05', '12.93'] -> 4 елемента"
100 грама съдържат:,"['103', '3.40', '17.80', '2'] -> 4 елемента"
100 грама съдържат:,"['120', '3', '4.50', '10'] -> 4 елемента"
100 грама съдържат:,"['528', '7.40', '56.70', '30.20'] -> 4 елемента"
100 грама съдържат:,"['500', '8.35', '55.65', '27.10'] -> 4 елемента"
100 грама съдържат:,"['44', '1.20', '7.20', '1.20'] -> 4 елемента"
100 грама съдържат:,"['326', '4.30', '54.60', '10.50'] -> 4 елемента"
100 грама съдържат:,"['528', '5', '55', '32'] -> 4 елемента"
100 грама съдържат:,"['124', '22.73', '0', '2.99'] -> 4 елемента"
100 грама съдържат:,"['322', '10.10', '60', '4.20'] -> 4 елемента"
100 грама съдържат:,"['278', '4.80', '32.60', '14.40'] -> 4 елемента"
100 грама съдържат:,"['284', '30.19', '0', '17.21'] -> 4 елемента"
100 грама съдържат:,"['149', '21.72', '0', '6.29'] -> 4 елемента"
100 грама съдържат:,"['111', '5.07', '24.37', '0.80'] -> 4 елемента"
100 грама съдържат:,"['128', '20.92', '1.20', '4.43'] -> 4 елемента"
100 грама съдържат:,"['15', '0.60', '3.69', '0.02'] -> 4 елемента"
100 грама съдържат:,"['46', '0.10', '11.30', '0.13'] -> 4 елемента"
100 грама съдържат:,"['241', '3.39', '62.64', '0.51'] -> 4 елемента"
100 грама съдържат:,"['889', '0', '0', '98.59'] -> 4 елемента"
100 грама съдържат:,"['189', '27', '0', '8.18'] -> 4 елемента"
100 грама съдържат:,"['304', '14.90', '0.90', '26.70'] -> 4 елемента"
100 грама съдържат:,"['181', '7', '7', '14.10'] -> 4 елемента"
100 грама съдържат:,"['511', '6.70', '61.20', '26.60'] -> 4 елемента"
100 грама съдържат:,"['68', '0.89', '12', '1.78'] -> 4 елемента"
100 грама съдържат:,"['105', '2.90', '16.60', '3'] -> 4 елемента"
100 грама съдържат:,"['50', '2.06', '7.06', '1.47'] -> 4 елемента"
100 грама съдържат:,"['183', '10', '17.93', '7.93'] -> 4 елемента"
100 грама съдържат:,"['75', '3.60', '10.50', '2.10'] -> 4 елемента"
100 грама съдържат:,"['353', '7', '79.60', '0.70'] -> 4 елемента"
100 грама съдържат:,"['538', '7.50', '58', '30.70'] -> 4 елемента"
100 грама съдържат:,"['362', '11.50', '75.70', '1.50'] -> 4 елемента"
100 грама съдържат:,"['528', '5', '55', '32'] -> 4 елемента"
100 грама съдържат:,"['148', '6.60', '20.20', '4.50'] -> 4 елемента"
100 грама съдържат:,"['126', '1.93', '32.62', '0.24'] -> 4 елемента"
100 грама съдържат:,"['177', '20.07', '0.07', '10.07'] -> 4 елемента"
100 грама съдържат:,"['146', '24.18', '0', '4.73'] -> 4 елемента"
100 грама съдържат:,"['95', '15.43', '0.67', '3.48'] -> 4 елемента"
100 грама съдържат:,"['309', '14.60', '1.90', '27'] -> 4 елемента"
100 грама съдържат:,"['128', '18.26', '0', '5.50'] -> 4 елемента"
100 грама съдържат:,"['38', '0.75', '9.41', '0.04'] -> 4 елемента"
100 грама съдържат:,"['14', '0.62', '3.39', '0.02'] -> 4 елемента"
100 грама съдържат:,"['505', '4.50', '65.40', '25'] -> 4 елемента"
100 грама съдържат:,"['276', '19.50', 'Няма', 'данни', '22'] -> 5 елемента"
100 грама съдържат:,"['104', '0.67', '11.78', '6'] -> 4 елемента"
100 грама съдържат:,"['42', '3.37', '4.99', '0.97'] -> 4 елемента"
100 грама съдържат:,"['358', '7.50', '79', '1.30'] -> 4 елемента"
